index,title,artist,album,album_artist,genre,track_number,year,duration_seconds,duration_ms,bitrate_kbps,sample_rate_hz,file_size_bytes,format_kind,play_count,rating,file_path,is_video,date_added,file_size_mb,is_local_file,file_extension,unique_id,has_file_path,file_accessible
514,"Tchaikovsky: The Nutcracker, Op. 71 - Miniature Overture",Antal Doráti: London Symphony Orchestra,Tchaikovsky: The Nutcracker [Disc 1],,Classical,1,1962,185,185773,690,44100,16068769,Apple Lossless audio file,0,0,"/Users/seant/Music/iTunes/iTunes Media/Music/Antal Doráti_ London Symphony Orchestra/Tchaikovsky_ The Nutcracker [Disc 1]/1-01 Tchaikovsky_ The Nutcracker, Op. 71 - Miniature Overture.m4a",False,2025-04-27T20:40:30,15.32,True,m4a,"Antal Doráti: London Symphony Orchestra_Tchaikovsky: The Nutcracker [Disc 1]_Tchaikovsky: The Nutcracker, Op. 71 - Miniature Overture_1",True,True
515,"Tchaikovsky: The Nutcracker, Op. 71 - The Decoration Of The Christmas Tree",Antal Doráti: London Symphony Orchestra,Tchaikovsky: The Nutcracker [Disc 1],,Classical,2,1962,227,227293,673,44100,19146902,Apple Lossless audio file,0,0,"/Users/seant/Music/iTunes/iTunes Media/Music/Antal Doráti_ London Symphony Orchestra/Tchaikovsky_ The Nutcracker [Disc 1]/1-02 Tchaikovsky_ The Nutcracker, Op. 71 - The Decoration Of The Christmas Tree.m4a",False,2025-04-27T20:41:16,18.26,True,m4a,"Antal Doráti: London Symphony Orchestra_Tchaikovsky: The Nutcracker [Disc 1]_Tchaikovsky: The Nutcracker, Op. 71 - The Decoration Of The Christmas Tree_2",True,True
516,"Tchaikovsky: The Nutcracker, Op. 71 - March",Antal Doráti: London Symphony Orchestra,Tchaikovsky: The Nutcracker [Disc 1],,Classical,3,1962,135,135133,687,44100,11623804,Apple Lossless audio file,0,0,"/Users/seant/Music/iTunes/iTunes Media/Music/Antal Doráti_ London Symphony Orchestra/Tchaikovsky_ The Nutcracker [Disc 1]/1-03 Tchaikovsky_ The Nutcracker, Op. 71 - March.m4a",False,2025-04-27T20:42:08,11.09,True,m4a,"Antal Doráti: London Symphony Orchestra_Tchaikovsky: The Nutcracker [Disc 1]_Tchaikovsky: The Nutcracker, Op. 71 - March_3",True,True
517,"Tchaikovsky: The Nutcracker, Op. 71 - Children's Galop & Entry Of The Parents",Antal Doráti: London Symphony Orchestra,Tchaikovsky: The Nutcracker [Disc 1],,Classical,4,1962,134,134400,749,44100,12609616,Apple Lossless audio file,0,0,"/Users/seant/Music/iTunes/iTunes Media/Music/Antal Doráti_ London Symphony Orchestra/Tchaikovsky_ The Nutcracker [Disc 1]/1-04 Tchaikovsky_ The Nutcracker, Op. 71 - Children's Galop & Entry Of The Parents.m4a",False,2025-04-27T20:42:37,12.03,True,m4a,"Antal Doráti: London Symphony Orchestra_Tchaikovsky: The Nutcracker [Disc 1]_Tchaikovsky: The Nutcracker, Op. 71 - Children's Galop & Entry Of The Parents_4",True,True
518,"Tchaikovsky: The Nutcracker, Op. 71 - Arrival Of Drosselmayer",Antal Doráti: London Symphony Orchestra,Tchaikovsky: The Nutcracker [Disc 1],,Classical,5,1962,306,306066,664,44100,25449864,Apple Lossless audio file,0,0,"/Users/seant/Music/iTunes/iTunes Media/Music/Antal Doráti_ London Symphony Orchestra/Tchaikovsky_ The Nutcracker [Disc 1]/1-05 Tchaikovsky_ The Nutcracker, Op. 71 - Arrival Of Drosselmayer.m4a",False,2025-04-27T20:43:05,24.27,True,m4a,"Antal Doráti: London Symphony Orchestra_Tchaikovsky: The Nutcracker [Disc 1]_Tchaikovsky: The Nutcracker, Op. 71 - Arrival Of Drosselmayer_5",True,True
519,"Tchaikovsky: The Nutcracker, Op. 71 - Grandfather Dance",Antal Doráti: London Symphony Orchestra,Tchaikovsky: The Nutcracker [Disc 1],,Classical,6,1962,345,345400,679,44100,29391837,Apple Lossless audio file,0,0,"/Users/seant/Music/iTunes/iTunes Media/Music/Antal Doráti_ London Symphony Orchestra/Tchaikovsky_ The Nutcracker [Disc 1]/1-06 Tchaikovsky_ The Nutcracker, Op. 71 - Grandfather Dance.m4a",False,2025-04-27T20:44:02,28.03,True,m4a,"Antal Doráti: London Symphony Orchestra_Tchaikovsky: The Nutcracker [Disc 1]_Tchaikovsky: The Nutcracker, Op. 71 - Grandfather Dance_6",True,True
520,"Tchaikovsky: The Nutcracker, Op. 71 - Scene: Clara & The Nutcracker",Antal Doráti: London Symphony Orchestra,Tchaikovsky: The Nutcracker [Disc 1],,Classical,7,1962,353,353906,682,44100,30215661,Apple Lossless audio file,0,0,"/Users/seant/Music/iTunes/iTunes Media/Music/Antal Doráti_ London Symphony Orchestra/Tchaikovsky_ The Nutcracker [Disc 1]/1-07 Tchaikovsky_ The Nutcracker, Op. 71 - Scene_ Clara & The Nutcracker.m4a",False,2025-04-27T20:45:02,28.82,True,m4a,"Antal Doráti: London Symphony Orchestra_Tchaikovsky: The Nutcracker [Disc 1]_Tchaikovsky: The Nutcracker, Op. 71 - Scene: Clara & The Nutcracker_7",True,True
521,"Tchaikovsky: The Nutcracker, Op. 71 - Scene: Battle",Antal Doráti: London Symphony Orchestra,Tchaikovsky: The Nutcracker [Disc 1],,Classical,8,1962,178,178333,793,44100,17715342,Apple Lossless audio file,0,0,"/Users/seant/Music/iTunes/iTunes Media/Music/Antal Doráti_ London Symphony Orchestra/Tchaikovsky_ The Nutcracker [Disc 1]/1-08 Tchaikovsky_ The Nutcracker, Op. 71 - Scene_ Battle.m4a",False,2025-04-27T20:45:59,16.89,True,m4a,"Antal Doráti: London Symphony Orchestra_Tchaikovsky: The Nutcracker [Disc 1]_Tchaikovsky: The Nutcracker, Op. 71 - Scene: Battle_8",True,True
522,"Tchaikovsky: The Nutcracker, Op. 71 - Scene: In The Pine-Forest",Antal Doráti: London Symphony Orchestra,Tchaikovsky: The Nutcracker [Disc 1],,Classical,9,1962,211,211826,764,44100,20267546,Apple Lossless audio file,0,0,"/Users/seant/Music/iTunes/iTunes Media/Music/Antal Doráti_ London Symphony Orchestra/Tchaikovsky_ The Nutcracker [Disc 1]/1-09 Tchaikovsky_ The Nutcracker, Op. 71 - Scene_ In The Pine-Forest.m4a",False,2025-04-27T20:46:26,19.33,True,m4a,"Antal Doráti: London Symphony Orchestra_Tchaikovsky: The Nutcracker [Disc 1]_Tchaikovsky: The Nutcracker, Op. 71 - Scene: In The Pine-Forest_9",True,True
523,"Tchaikovsky: The Nutcracker, Op. 71 - Waltz Of The Snowflakes",Antal Doráti: London Symphony Orchestra,Tchaikovsky: The Nutcracker [Disc 1],,Classical,10,1962,383,383733,704,44100,33838288,Apple Lossless audio file,0,0,"/Users/seant/Music/iTunes/iTunes Media/Music/Antal Doráti_ London Symphony Orchestra/Tchaikovsky_ The Nutcracker [Disc 1]/1-10 Tchaikovsky_ The Nutcracker, Op. 71 - Waltz Of The Snowflakes.m4a",False,2025-04-27T20:46:58,32.27,True,m4a,"Antal Doráti: London Symphony Orchestra_Tchaikovsky: The Nutcracker [Disc 1]_Tchaikovsky: The Nutcracker, Op. 71 - Waltz Of The Snowflakes_10",True,True
524,"Tchaikovsky: The Nutcracker, Op. 71 - Scene: Clara & The Prince",Antal Doráti: London Symphony Orchestra,Tchaikovsky: The Nutcracker [Disc 2],,Classical,1,1962,249,249106,703,44100,21948280,Apple Lossless audio file,0,0,"/Users/seant/Music/iTunes/iTunes Media/Music/Compilations/Tchaikovsky_ The Nutcracker [Disc 2]/2-01 Tchaikovsky_ The Nutcracker, Op. 71 - Scene_ Clara & The Prince.m4a",False,2025-04-27T21:15:49,20.93,True,m4a,"Antal Doráti: London Symphony Orchestra_Tchaikovsky: The Nutcracker [Disc 2]_Tchaikovsky: The Nutcracker, Op. 71 - Scene: Clara & The Prince_1",True,True
