index,title,artist,album,album_artist,genre,track_number,year,duration_seconds,duration_ms,bitrate_kbps,sample_rate_hz,file_size_bytes,format_kind,play_count,rating,file_path,is_video,date_added,file_size_mb,is_local_file,file_extension,unique_id,has_file_path,file_accessible
252,Chapter 30 - The White Tomb,J. K. Rowling,Harry Potter and the Half Blood Prince,,Audio Book,30,2005,2493,2493828,24,16000,7526540,MPEG audio file,0,0,/Users/seant/Music/iTunes/iTunes Media/Music/J. K. Rowling/Harry Potter and the Half Blood Prince/30 Chapter 30 - The White Tomb.mp3,False,2017-12-17T18:52:50,7.18,True,mp3,J. K. Rowling_Harry Potter and the Half Blood Prince_Chapter 30 - The White Tomb_30,True,True
79,Chapter 04 - At Flourish and Blotts,J.K. Rowling,Harry Potter and the Chamber of Secrets,,Audio Book,4,1998,2369,2369700,24,16000,7135724,MPEG audio file,0,0,/Users/seant/Music/iTunes/iTunes Media/Music/J.K. Rowling/Harry Potter and the Chamber of Secrets/04 Chapter 04 - At Flourish and Blotts.mp3,False,2017-12-17T18:41:02,6.81,True,mp3,J.K. Rowling_Harry Potter and the Chamber of Secrets_Chapter 04 - At Flourish and Blotts_4,True,True
251,Chapter 05 - The Whomping Willow,J.K. Rowling,Harry Potter and the Chamber of Secrets,,Audio Book,5,1998,2184,2184012,24,16000,6578660,MPEG audio file,0,0,/Users/seant/Music/iTunes/iTunes Media/Music/J.K. Rowling/Harry Potter and the Chamber of Secrets/05 Chapter 05 - The Whomping Willow.mp3,False,2017-12-17T18:52:49,6.27,True,mp3,J.K. Rowling_Harry Potter and the Chamber of Secrets_Chapter 05 - The Whomping Willow_5,True,True
182,Chapter 06 - Gilderoy Lockhart,J.K. Rowling,Harry Potter and the Chamber of Secrets,,Audio Book,6,1998,1839,1839960,24,16000,5546504,MPEG audio file,0,0,/Users/seant/Music/iTunes/iTunes Media/Music/J.K. Rowling/Harry Potter and the Chamber of Secrets/06 Chapter 06 - Gilderoy Lockhart.mp3,False,2017-12-17T18:47:57,5.29,True,mp3,J.K. Rowling_Harry Potter and the Chamber of Secrets_Chapter 06 - Gilderoy Lockhart_6,True,True
131,Chapter 07 - Mudbloods and Murmurs,J.K. Rowling,Harry Potter and the Chamber of Secrets,,Audio Book,7,1998,1701,1701576,24,16000,5131352,MPEG audio file,0,0,/Users/seant/Music/iTunes/iTunes Media/Music/J.K. Rowling/Harry Potter and the Chamber of Secrets/07 Chapter 07 - Mudbloods and Murmurs.mp3,False,2017-12-17T18:43:53,4.89,True,mp3,J.K. Rowling_Harry Potter and the Chamber of Secrets_Chapter 07 - Mudbloods and Murmurs_7,True,True
140,Chapter 09 - The Writing on the Wall,J.K. Rowling,Harry Potter and the Chamber of Secrets,,Audio Book,9,1998,2025,2025144,24,16000,6102056,MPEG audio file,0,0,/Users/seant/Music/iTunes/iTunes Media/Music/J.K. Rowling/Harry Potter and the Chamber of Secrets/09 Chapter 09 - The Writing on the Wall.mp3,False,2017-12-17T18:45:01,5.82,True,mp3,J.K. Rowling_Harry Potter and the Chamber of Secrets_Chapter 09 - The Writing on the Wall_9,True,True
126,Chapter 10 - The Rogue Bludger,J.K. Rowling,Harry Potter and the Chamber of Secrets,,Audio Book,10,1998,1996,1996416,24,16000,6015872,MPEG audio file,0,0,/Users/seant/Music/iTunes/iTunes Media/Music/J.K. Rowling/Harry Potter and the Chamber of Secrets/10 Chapter 10 - The Rogue Bludger.mp3,False,2017-12-17T18:43:36,5.74,True,mp3,J.K. Rowling_Harry Potter and the Chamber of Secrets_Chapter 10 - The Rogue Bludger_10,True,True
22,Chapter 11 - The Duelling Club,J.K. Rowling,Harry Potter and the Chamber of Secrets,,Audio Book,11,1998,2361,2361168,24,16000,7110128,MPEG audio file,0,0,/Users/seant/Music/iTunes/iTunes Media/Music/J.K. Rowling/Harry Potter and the Chamber of Secrets/11 Chapter 11 - The Duelling Club.mp3,False,2017-12-17T18:36:51,6.78,True,mp3,J.K. Rowling_Harry Potter and the Chamber of Secrets_Chapter 11 - The Duelling Club_11,True,True
141,Chapter 13 - The Very Secret Diary,J.K. Rowling,Harry Potter and the Chamber of Secrets,,Audio Book,13,1998,2198,2198160,24,16000,6621104,MPEG audio file,0,0,/Users/seant/Music/iTunes/iTunes Media/Music/J.K. Rowling/Harry Potter and the Chamber of Secrets/13 Chapter 13 - The Very Secret Diary.mp3,False,2017-12-17T18:45:02,6.31,True,mp3,J.K. Rowling_Harry Potter and the Chamber of Secrets_Chapter 13 - The Very Secret Diary_13,True,True
275,Chapter 14 - Cornelius Fudge,J.K. Rowling,Harry Potter and the Chamber of Secrets,,Audio Book,14,1998,1638,1638144,24,16000,4941056,MPEG audio file,0,0,/Users/seant/Music/iTunes/iTunes Media/Music/J.K. Rowling/Harry Potter and the Chamber of Secrets/14 Chapter 14 - Cornelius Fudge.mp3,False,2017-12-17T18:55:38,4.71,True,mp3,J.K. Rowling_Harry Potter and the Chamber of Secrets_Chapter 14 - Cornelius Fudge_14,True,True
