index,title,artist,album,album_artist,genre,track_number,year,duration_seconds,duration_ms,bitrate_kbps,sample_rate_hz,file_size_bytes,format_kind,play_count,rating,file_path,is_video,date_added,file_size_mb,is_local_file,file_extension,unique_id,has_file_path,file_accessible
100,I Was In Love With A Difficult Man,Christine Lavin,I Was In Love With A Difficult Man,,Country & Folk,1,2002,187,187840,908,44100,21363399,Apple Lossless audio file,0,0,/Users/seant/Music/Music/Media.localized/Music/Christine Lavin/I Was In Love With A Difficult Man/01 I Was In Love With A Difficult Man.m4a,False,2025-09-28T15:49:15,20.37,True,m4a,Christine Lavin_I Was In Love With A Difficult Man_I Was In Love With A Difficult Man_1,True,True
101,Jack & Wanda,Christine Lavin,I Was In Love With A Difficult Man,,Country & Folk,2,2002,279,279040,763,44100,26665972,Apple Lossless audio file,0,0,/Users/seant/Music/Music/Media.localized/Music/Christine Lavin/I Was In Love With A Difficult Man/02 Jack & Wanda.m4a,False,2025-09-28T15:49:33,25.43,True,m4a,Christine Lavin_I Was In Love With A Difficult Man_Jack & Wanda_2,True,True
102,Strangers Talk To Me,Christine Lavin,I Was In Love With A Difficult Man,,Country & Folk,3,2002,158,158573,822,44100,16324891,Apple Lossless audio file,0,0,/Users/seant/Music/Music/Media.localized/Music/Christine Lavin/I Was In Love With A Difficult Man/03 Strangers Talk To Me.m4a,False,2025-09-28T15:49:57,15.57,True,m4a,Christine Lavin_I Was In Love With A Difficult Man_Strangers Talk To Me_3,True,True
103,Sunday Breakfast With Christine (and Ervin),Christine Lavin,I Was In Love With A Difficult Man,,Country & Folk,4,2002,191,191680,758,44100,18189889,Apple Lossless audio file,0,0,/Users/seant/Music/Music/Media.localized/Music/Christine Lavin/I Was In Love With A Difficult Man/04 Sunday Breakfast With Christine (and Ervin).m4a,False,2025-09-28T15:50:09,17.35,True,m4a,Christine Lavin_I Was In Love With A Difficult Man_Sunday Breakfast With Christine (and Ervin)_4,True,True
104,Making Friends With My Grey Hair,Christine Lavin,I Was In Love With A Difficult Man,,Country & Folk,5,2002,235,235386,781,44100,23020731,Apple Lossless audio file,0,0,/Users/seant/Music/Music/Media.localized/Music/Christine Lavin/I Was In Love With A Difficult Man/05 Making Friends With My Grey Hair.m4a,False,2025-09-28T15:50:24,21.95,True,m4a,Christine Lavin_I Was In Love With A Difficult Man_Making Friends With My Grey Hair_5,True,True
105,Trade Up,Christine Lavin,I Was In Love With A Difficult Man,,Country & Folk,6,2002,207,207280,840,44100,21796199,Apple Lossless audio file,0,0,/Users/seant/Music/Music/Media.localized/Music/Christine Lavin/I Was In Love With A Difficult Man/06 Trade Up.m4a,False,2025-09-28T15:50:41,20.79,True,m4a,Christine Lavin_I Was In Love With A Difficult Man_Trade Up_6,True,True
106,Wind Chimes,Christine Lavin,I Was In Love With A Difficult Man,,Country & Folk,7,2002,253,253733,892,44100,28338891,Apple Lossless audio file,0,0,/Users/seant/Music/Music/Media.localized/Music/Christine Lavin/I Was In Love With A Difficult Man/07 Wind Chimes.m4a,False,2025-09-28T15:50:55,27.03,True,m4a,Christine Lavin_I Was In Love With A Difficult Man_Wind Chimes_7,True,True
107,All You Want Is What I Want,Christine Lavin,I Was In Love With A Difficult Man,,Country & Folk,8,2002,168,168706,881,44100,18606351,Apple Lossless audio file,0,0,/Users/seant/Music/Music/Media.localized/Music/Christine Lavin/I Was In Love With A Difficult Man/08 All You Want Is What I Want.m4a,False,2025-09-28T15:51:11,17.74,True,m4a,Christine Lavin_I Was In Love With A Difficult Man_All You Want Is What I Want_8,True,True
108,Three-Storied Life,Christine Lavin,I Was In Love With A Difficult Man,,Country & Folk,9,2002,199,199360,841,44100,20994112,Apple Lossless audio file,0,0,/Users/seant/Music/Music/Media.localized/Music/Christine Lavin/I Was In Love With A Difficult Man/09 Three-Storied Life.m4a,False,2025-09-28T15:51:22,20.02,True,m4a,Christine Lavin_I Was In Love With A Difficult Man_Three-Storied Life_9,True,True
109,Firehouse,Christine Lavin,I Was In Love With A Difficult Man,,Country & Folk,10,2002,346,346773,761,44100,33020447,Apple Lossless audio file,0,0,/Users/seant/Music/Music/Media.localized/Music/Christine Lavin/I Was In Love With A Difficult Man/10 Firehouse.m4a,False,2025-09-28T15:51:34,31.49,True,m4a,Christine Lavin_I Was In Love With A Difficult Man_Firehouse_10,True,True
